"Date","Open","High","Low","Close","Volume","Ticker","Period","Sector","logReturn"
"1980-12-12T05:00:00.000Z",0.12835000455379486,0.16128000617027283,0.11271999776363373,0.15234999358654022,1344851648,"AAPL","monthly","TechnologyHardwareAndEquipment","0"
"1981-01-02T05:00:00.000Z",0.15401999652385712,0.15512999892234802,0.12612000107765198,0.12612000107765198,608988800,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.1889466201133207"
"1981-02-02T05:00:00.000Z",0.11886999756097794,0.12891000509262085,0.10603000223636627,0.11829999834299088,321619200,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.06401008624401427"
"1981-03-02T05:00:00.000Z",0.11886999756097794,0.12054000049829483,0.09654019773006439,0.10937000066041946,700717024,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.0784871215919701"
"1981-04-01T05:00:00.000Z",0.10825999826192856,0.13113999366760254,0.10825999826192856,0.12668000161647797,536928000,"AAPL","monthly","TechnologyHardwareAndEquipment","0.14692759904523273"
"1981-05-01T05:00:00.000Z",0.12668000161647797,0.14844000339508057,0.11997999995946884,0.14788000285625458,590419200,"AAPL","monthly","TechnologyHardwareAndEquipment","0.15473691895234506"
"1981-06-01T05:00:00.000Z",0.14788000285625458,0.14844000339508057,0.11607000231742859,0.11607000231742859,950566400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.24220767603679347"
"1981-07-01T05:00:00.000Z",0.11495999991893768,0.11719000339508057,0.09932990372180939,0.11161000281572342,667430400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.03918280045045618"
"1981-08-03T05:00:00.000Z",0.11049000173807144,0.11607000231742859,0.08427009731531143,0.08985000103712082,548620800,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.21686905212348864"
"1981-09-01T05:00:00.000Z",0.09542989730834961,0.09765979647636414,0.06362009793519974,0.06807990372180939,743680000,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.277459554700241"
"1981-10-01T05:00:00.000Z",0.06807990372180939,0.08985000103712082,0.06807990372180939,0.08929020166397095,904176000,"AAPL","monthly","TechnologyHardwareAndEquipment","0.27120968798251016"
"1981-11-02T05:00:00.000Z",0.08929020166397095,0.08985000103712082,0.07980000227689743,0.0831499993801117,586678400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.07124555987076403"
"1981-12-01T05:00:00.000Z",0.0831499993801117,0.10267999768257141,0.08092010021209717,0.09877990186214447,1037120000,"AAPL","monthly","TechnologyHardwareAndEquipment","0.1722479634288632"
"1982-01-04T05:00:00.000Z",0.09820979833602905,0.09877990186214447,0.07980000227689743,0.09095980226993561,864214400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.08247648598619413"
"1982-02-01T05:00:00.000Z",0.08985000103712082,0.09152010083198547,0.08147010207176208,0.08147010207176208,608406400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.11018156842933959"
"1982-03-01T05:00:00.000Z",0.0820401981472969,0.08259020000696182,0.06305979937314987,0.07534019649028778,1199676800,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.0782222968893556"
"1982-04-01T05:00:00.000Z",0.07924020290374756,0.07980000227689743,0.06529019773006439,0.06584999710321426,1749597024,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.13463442610923246"
"1982-05-03T05:00:00.000Z",0.06807990372180939,0.07310979813337326,0.0625,0.0625,1243894400,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.0522128274562615"
"1982-06-01T05:00:00.000Z",0.061379898339509964,0.06305979937314987,0.05692010000348091,0.05692010000348091,803644800,"AAPL","monthly","TechnologyHardwareAndEquipment","-0.0935180266093714"
