"Date","Open","High","Low","Close","Volume","Ticker","Period","Sector","logReturn"
"2022-06-01T05:00:00.000Z",65.4800033569336,65.79000091552734,56.68000030517578,59.2599983215332,21001618,"L","monthly","Insurance","-0.09996291278913036"
"2022-07-01T05:00:00.000Z",59.189998626708984,60.189998626708984,55.43000030517578,58.25,14041276,"L","monthly","Insurance","-0.017190421375835683"
"2022-08-01T05:00:00.000Z",56.47999954223633,58.97999954223633,54.099998474121094,55.310001373291016,19139496,"L","monthly","Insurance","-0.05179034361024122"
"2022-09-01T05:00:00.000Z",55.15999984741211,57.790000915527344,49.36000061035156,49.84000015258789,22452478,"L","monthly","Insurance","-0.10413587129481622"
"2022-10-03T05:00:00.000Z",50.47999954223633,58.060001373291016,49.77000045776367,57.02000045776367,15903524,"L","monthly","Insurance","0.13458421397189815"
"2022-11-01T05:00:00.000Z",57.279998779296875,58.290000915527344,54.27000045776367,58.150001525878906,15547933,"L","monthly","Insurance","0.0196238136924163"
"2022-12-01T05:00:00.000Z",58.65999984741211,58.869998931884766,54.814998626708984,58.33000183105469,19152263,"L","monthly","Insurance","0.00309066695178156"
"2023-01-03T05:00:00.000Z",58.38999938964844,61.4900016784668,57.529998779296875,61.47999954223633,13173386,"L","monthly","Insurance","0.052595339067813565"
"2023-02-01T05:00:00.000Z",60.83000183105469,63.2400016784668,59.33000183105469,61.09000015258789,17842149,"L","monthly","Insurance","-0.0063637220652308845"
"2023-03-01T05:00:00.000Z",60.75,62.11000061035156,52.849998474121094,58.02000045776367,24709361,"L","monthly","Insurance","-0.05156040257641676"
"2023-04-03T05:00:00.000Z",58.04999923706055,58.599998474121094,55.310001373291016,57.56999969482422,12799070,"L","monthly","Insurance","-0.007786193196247716"
"2023-05-01T05:00:00.000Z",59.36000061035156,60.29079818725586,55.939998626708984,56,17167108,"L","monthly","Insurance","-0.027649902651617358"
"2023-06-01T05:00:00.000Z",56.279998779296875,59.93000030517578,56.08000183105469,59.380001068115234,17835180,"L","monthly","Insurance","0.058605796588258735"
"2023-07-03T05:00:00.000Z",59.20000076293945,63.93000030517578,58.810001373291016,62.650001525878906,11529761,"L","monthly","Insurance","0.05360621837427793"
"2023-08-01T05:00:00.000Z",62.68000030517578,63.92499923706055,61.33000183105469,62.09000015258789,13009326,"L","monthly","Insurance","-0.008978757863356958"
"2023-09-01T05:00:00.000Z",62.58000183105469,65.38999938964844,61.290000915527344,63.310001373291016,19531950,"L","monthly","Insurance","0.019458368413239717"
"2023-10-02T05:00:00.000Z",63.16999816894531,65.75,61.43000030517578,64.01000213623047,9496540,"L","monthly","Insurance","0.010996038279729142"
"2023-11-01T05:00:00.000Z",64.12999725341797,70.44999694824219,64.05999755859375,70.29000091552734,11034012,"L","monthly","Insurance","0.09359019968551724"
"2023-12-01T05:00:00.000Z",70.08000183105469,70.86000061035156,67.20999908447266,69.58999633789062,11534859,"L","monthly","Insurance","-0.010008727980132838"
"2024-01-02T05:00:00.000Z",69.6500015258789,74,69.6500015258789,72.86000061035156,8898587,"L","monthly","Insurance","0.04591897372478117"
"2024-02-01T05:00:00.000Z",72.27999877929688,75.48999786376953,71.44999694824219,75.12999725341797,8885720,"L","monthly","Insurance","0.030680109865877905"
"2024-03-01T05:00:00.000Z",75.06999969482422,78.55000305175781,74.1500015258789,78.29000091552734,10176202,"L","monthly","Insurance","0.041199982790533315"
"2024-04-01T05:00:00.000Z",78.16000366210938,78.19000244140625,72.94999694824219,75.1500015258789,12530245,"L","monthly","Insurance","-0.04093375611044844"
"2024-05-01T05:00:00.000Z",75.2300033569336,78.2249984741211,73.20999908447266,76.80000305175781,13712295,"L","monthly","Insurance","0.021718543386629048"
"2024-06-03T05:00:00.000Z",76.58999633789062,77.98999786376953,73.47000122070312,74.73999786376953,15270691,"L","monthly","Insurance","-0.0271892844148758"
"2024-07-01T05:00:00.000Z",75.1500015258789,83.54000091552734,73.1500015258789,79.94999694824219,9939198,"L","monthly","Insurance","0.06738600563395329"
"2024-08-01T05:00:00.000Z",80.38999938964844,82.0999984741211,75.45999908447266,81.94000244140625,12246026,"L","monthly","Insurance","0.024585900804639668"
"2024-09-03T05:00:00.000Z",81.45999908447266,82.62999725341797,76.95999908447266,79.05000305175781,14695086,"L","monthly","Insurance","-0.03590669965288049"
"2024-10-01T05:00:00.000Z",78.9800033569336,82.12000274658203,76.3499984741211,78.95999908447266,13200224,"L","monthly","Insurance","-0.0011392187304906482"
"2024-11-01T05:00:00.000Z",78.9800033569336,87.43000030517578,75.16000366210938,86.7300033569336,12961664,"L","monthly","Insurance","0.09385849987152653"
"2024-12-02T05:00:00.000Z",86.79000091552734,86.80000305175781,80.7699966430664,84.69000244140625,10113098,"L","monthly","Insurance","-0.02380232364085849"
"2025-01-02T05:00:00.000Z",85.08000183105469,87.2699966430664,80.51000213623047,85.44999694824219,10820244,"L","monthly","Insurance","0.008933814086570386"
"2025-02-03T05:00:00.000Z",84.44000244140625,88.23999786376953,81.94999694824219,86.66999816894531,10630486,"L","monthly","Insurance","0.014176408171871747"
"2025-03-03T05:00:00.000Z",86.88999938964844,92.33000183105469,83.20999908447266,91.91000366210938,14091280,"L","monthly","Insurance","0.0587020951950204"
"2025-04-01T05:00:00.000Z",91.81999969482422,92.41999816894531,78.9800033569336,86.83000183105469,17307692,"L","monthly","Insurance","-0.056857672054167134"
"2025-05-01T05:00:00.000Z",86.08999633789062,89.80999755859375,85.09950256347656,89.29000091552734,14407497,"L","monthly","Insurance","0.027937304622173913"
