"Date","Open","High","Low","Close","Volume","Ticker","Period","Sector","logReturn"
"2025-11-28T05:00:00.000Z",108.41999816894531,108.58000183105469,107.76000213623047,107.87000274658203,424327,"L","daily","Insurance","-0.003608937251938246"
"2025-12-01T05:00:00.000Z",107.7699966430664,108.51000213623047,106.30999755859375,106.4000015258789,897028,"L","daily","Insurance","-0.013721232600790072"
"2025-12-02T05:00:00.000Z",106.81999969482422,106.94999694824219,105.69000244140625,106.30999755859375,733119,"L","daily","Insurance","-0.0008462599129701385"
"2025-12-03T05:00:00.000Z",106.48999786376953,106.802001953125,105.05000305175781,105.75,755116,"L","daily","Insurance","-0.0052815134091536145"
"2025-12-04T05:00:00.000Z",105.72000122070312,106.19000244140625,104.27999877929688,104.48999786376953,918278,"L","daily","Insurance","-0.011986465324721267"
"2025-12-05T05:00:00.000Z",104.58999633789062,104.58999633789062,102.62000274658203,102.81999969482422,870535,"L","daily","Insurance","-0.01611146894236612"
"2025-12-08T05:00:00.000Z",102.91000366210938,102.91000366210938,101.13999938964844,101.41000366210938,1255092,"L","daily","Insurance","-0.01380814192348006"
"2025-12-09T05:00:00.000Z",101.58000183105469,102.93000030517578,101.58000183105469,102.55999755859375,1043785,"L","daily","Insurance","0.011276227631876403"
"2025-12-10T05:00:00.000Z",102.47000122070312,103,102.11799621582031,102.61000061035156,1445200,"L","daily","Insurance","0.00048743045468729916"
"2025-12-11T05:00:00.000Z",102.9000015258789,105.12000274658203,102.82499694824219,104.6500015258789,1112026,"L","daily","Insurance","0.01968606365040763"
"2025-12-12T05:00:00.000Z",105.12999725341797,105.19000244140625,103.9800033569336,104.30999755859375,634500,"L","daily","Insurance","-0.003254252190206189"
"2025-12-15T05:00:00.000Z",104.70999908447266,105.5,104.30000305175781,105.41000366210938,883875,"L","daily","Insurance","0.01049033172608655"
"2025-12-16T05:00:00.000Z",105.51000213623047,105.83999633789062,103.52999877929688,103.95999908447266,981632,"L","daily","Insurance","-0.013851342041917118"
"2025-12-17T05:00:00.000Z",103.98999786376953,106.22000122070312,103.79000091552734,106.04000091552734,892299,"L","daily","Insurance","0.01981018908786231"
"2025-12-18T05:00:00.000Z",105.70999908447266,106.30000305175781,105.20999908447266,105.86000061035156,812963,"L","daily","Insurance","-0.0016989178591270814"
"2025-12-19T05:00:00.000Z",105.7699966430664,106.63999938964844,105.7699966430664,106.58000183105469,1653087,"L","daily","Insurance","0.006778421853242549"
"2025-12-22T05:00:00.000Z",106.5999984741211,108.18000030517578,106.16999816894531,108.08000183105469,673370,"L","daily","Insurance","0.013975816544871572"
"2025-12-23T05:00:00.000Z",108.36000061035156,108.38999938964844,107.30999755859375,107.51000213623047,679456,"L","daily","Insurance","-0.00528782422640439"
"2025-12-24T05:00:00.000Z",107.2699966430664,107.62999725341797,106.94999694824219,107.33000183105469,323547,"L","daily","Insurance","-0.0016756688137210792"
"2025-12-26T05:00:00.000Z",107.30000305175781,107.55000305175781,106.0999984741211,106.4000015258789,349937,"L","daily","Insurance","-0.008702626304967225"
"2025-12-29T05:00:00.000Z",106.66000366210938,106.7300033569336,105.9000015258789,106.23999786376953,574349,"L","daily","Insurance","-0.0015049256279785453"
"2025-12-30T05:00:00.000Z",106.19000244140625,106.41000366210938,105.97000122070312,106.19000244140625,368387,"L","daily","Insurance","-0.00047070021385435637"
"2025-12-31T05:00:00.000Z",106.19000244140625,106.23999786376953,105.30000305175781,105.30999755859375,636463,"L","daily","Insurance","-0.00832160719721558"
"2026-01-02T05:00:00.000Z",105,105,103.83999633789062,104.66000366210938,583351,"L","daily","Insurance","-0.006191322274866605"
"2026-01-05T05:00:00.000Z",104.0999984741211,106.16000366210938,104.08000183105469,105.66999816894531,521011,"L","daily","Insurance","0.009603977190296714"
"2026-01-06T05:00:00.000Z",105.02999877929688,105.48999786376953,103.26000213623047,105.19000244140625,842882,"L","daily","Insurance","-0.004552751164220148"
"2026-01-07T05:00:00.000Z",105.0199966430664,105.6500015258789,104.68000030517578,105.44999694824219,652368,"L","daily","Insurance","0.002468616023780477"
"2026-01-08T05:00:00.000Z",105.54000091552734,106.91000366210938,105.04000091552734,105.48999786376953,695635,"L","daily","Insurance","0.0003792634587146687"
"2026-01-09T05:00:00.000Z",105.19000244140625,105.83000183105469,104.58000183105469,104.58000183105469,590782,"L","daily","Insurance","-0.008663795174532642"
"2026-01-12T05:00:00.000Z",104.51000213623047,105.11000061035156,103.83999633789062,104.5199966430664,787840,"L","daily","Insurance","-0.0005739377338434394"
"2026-01-13T05:00:00.000Z",104.58000183105469,104.6050033569336,102.4800033569336,102.7699966430664,604357,"L","daily","Insurance","-0.01688495956233898"
"2026-01-14T05:00:00.000Z",102.83000183105469,104.2300033569336,102.83000183105469,103.5999984741211,942165,"L","daily","Insurance","0.008043866124369048"
"2026-01-15T05:00:00.000Z",103.73999786376953,104.57499694824219,102.67500305175781,103.16000366210938,623403,"L","daily","Insurance","-0.004256098584362981"
"2026-01-16T05:00:00.000Z",102.9000015258789,103.29000091552734,101.88999938964844,102.48999786376953,1118541,"L","daily","Insurance","-0.006516004512293798"
"2026-01-20T05:00:00.000Z",102.08999633789062,103.33000183105469,102,102.30000305175781,940208,"L","daily","Insurance","-0.0018555092111299017"
"2026-01-21T05:00:00.000Z",102.6500015258789,103.4000015258789,101.56500244140625,102.37999725341797,731714,"L","daily","Insurance","0.0007816514130717981"
"2026-01-22T05:00:00.000Z",102.13999938964844,102.45999908447266,101.48999786376953,102.4000015258789,734539,"L","daily","Insurance","0.0001953733044616615"
"2026-01-23T05:00:00.000Z",102.26000213623047,102.44000244140625,101.08000183105469,101.86000061035156,677129,"L","daily","Insurance","-0.005287400058046701"
"2026-01-26T05:00:00.000Z",102.30000305175781,103.48999786376953,102.11000061035156,102.68000030517578,567414,"L","daily","Insurance","0.008018031526523393"
"2026-01-27T05:00:00.000Z",102.66999816894531,102.91999816894531,101.91500091552734,102.30000305175781,542894,"L","daily","Insurance","-0.003707656186010119"
"2026-01-28T05:00:00.000Z",101.83999633789062,103.19000244140625,101.83999633789062,102.80999755859375,523480,"L","daily","Insurance","0.0049728980188137465"
"2026-01-29T05:00:00.000Z",103.48999786376953,104.68000030517578,103.11299896240234,104.68000030517578,689267,"L","daily","Insurance","0.01802547976941713"
"2026-01-30T05:00:00.000Z",104.51000213623047,105.66000366210938,103.68000030517578,105.56999969482422,682194,"L","daily","Insurance","0.008466156533594223"
"2026-02-02T05:00:00.000Z",105.58000183105469,106.5,104.81999969482422,105.77999877929688,743513,"L","daily","Insurance","0.0019872169869555394"
"2026-02-03T05:00:00.000Z",105.58000183105469,107.41000366210938,104.93000030517578,107.41000366210938,711659,"L","daily","Insurance","0.015291867606817567"
